# SkyForge DO-178C 合规矩阵 (Compliance Matrix)
# 文档标识: CM-SKYFORGE-V1.0
# DO-178C 章节: §6.4 (Verification of Verification Results) + 附录 A
# DO-330 章节: §11 (Tool Accomplishment Summary)
# 日期: 2026-07-17
# 状态: V3.3-Enhanced 工程辅助证据草案；不代表适航批准
#
# 列说明:
#   OBJ_ID              - 目标编号 (OBJ-1 ~ OBJ-19)
#   Objective_Name      - 目标名称
#   DO_178C_Table       - 对应 DO-178C Table A-X
#   DAL_A               - DAL-A 适用性 (R=必须+独立, R*=必须无独立, N/A=不适用, O=可选)
#   DAL_B               - DAL-B 适用性
#   DAL_C               - DAL-C 适用性
#   DAL_D               - DAL-D 适用性
#   DAL_E               - DAL-E 适用性
#   Status              - 当前状态 (满足/部分满足/未满足/不适用)
#   Implementation      - 实现模块
#   Evidence            - 证据文档
#   Completion_Date     - 完成日期
#   Notes               - 备注
#
OBJ_ID,Objective_Name,DO_178C_Table,DAL_A,DAL_B,DAL_C,DAL_D,DAL_E,Status,Implementation,Evidence,Completion_Date,Notes
OBJ-1,需求可追溯性,A-7.6,R,R,R,R,N/A,满足,requirement_parser.py + traceability_matrix.py,PSAC.md 附录 A,2026-07-10,HLR→LLR→Code→Test 全链路追溯
OBJ-2,契约式设计验证,A-3.1,R+,R+,R,R*,N/A,满足,contract_checker.py + contract_formal_verifier.py,SDP.md §5,2026-07-10,pre/post/inv/fh 四类契约校验
OBJ-3,源代码合规性,A-5.1,R+,R+,R+,R,N/A,满足,cppcheck_scanner.py + misra_fixes.py,SDP.md §5.3,2026-07-12,MISRA-C:2012 143 条规则扫描
OBJ-4,静态分析,A-5.2,R+,R+,R+,R,N/A,满足,cppcheck_scanner.py (Cppcheck --addon=misra),SVP.md §3.2,2026-07-12,0 残留违规标准
OBJ-5,仿真测试覆盖,A-6.2,R+,R+,R+,R,N/A,满足,simulation_engine.py + arinc653_adapter.py,SVP.md §3.3,2026-07-14,数字孪生 5 类故障注入 + ARINC 653 适配器
OBJ-6,故障注入测试,A-6.6,R+,R+,R+,R,N/A,满足,fault_injector.py + virtual_sensor.py,SVP.md §3.3,2026-07-14,5 类故障:传感器/执行器/通信/时序/电源
OBJ-7,代码审查,A-7.1,R+,R+,R+,R+,N/A,满足,HILManager（HITL 人工审查） + GitHub PR,SQAP.md §3.1,2026-07-15,HITL 三检查点 (需求/契约/代码)
OBJ-8,配置管理,A-8.1,R,R,R,R,N/A,满足,Git + SCMP.md + 基线管理,SCMP.md §3,2026-07-16,4 类基线 (功能/分配/开发/产品)
OBJ-9,问题报告,A-8.3,R,R,R,R,N/A,满足,pr_manager.py + GitHub Issues,SCMP.md §5,2026-07-16,PR-YYYY-NNNN 年度唯一编号
OBJ-10,独立性,A-9.1,R+,R+,R+,R,N/A,部分满足,HITL 人工审查 (独立于开发工具) + CI (独立于开发者),SQAP.md §2.2,2026-07-15,仅真实非 system 审查可计入；禁用/超时自动通过不计入
